id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f20,velocity_scene1_f30,velocity_scene1_f50,velocity_scene2_f10,velocity_scene2_f20,velocity_scene2_f30,velocity_scene2_f50,velocity_scene4_f10,velocity_scene4_f20,velocity_scene4_f30,velocity_scene4_f50,velocity_scene_wheel_f10,velocity_scene_wheel_f20,velocity_scene_wheel_f30,velocity_scene_wheel_f50,cost_scene1_f10,cost_scene1_f20,cost_scene1_f30,cost_scene1_f50,cost_scene2_f10,cost_scene2_f20,cost_scene2_f30,cost_scene2_f50,cost_scene4_f10,cost_scene4_f20,cost_scene4_f30,cost_scene4_f50,cost_scene_wheel_f10,cost_scene_wheel_f20,cost_scene_wheel_f30,cost_scene_wheel_f50,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene1_f50,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene2_f50,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene4_f50,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,lateral_scene_wheel_f50,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene1_f50,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene2_f50,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene4_f50,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,tumble_scene_wheel_f50,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene1_f50,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene2_f50,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene4_f50,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,yaw_scene_wheel_f50,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
65980375,25.727047157920016,2.1,0.059482231008601456,0.07937522135280622,0.09726212812057783,0.034879914187186896,4.939178672690035,4.434360217656566,5.872875529993222,10.416515687030765,0.020844908100192586,0.05205613566839867,0.07456589635394334,0.09046198391187124,0.05547184456789139,0.06644367270095533,0.09239507353369847,0.10319029460867973,0.06606805810230332,0.0936514110429571,0.10773559914541586,0.12159344419163506,0.06602087312625404,0.019722297941936588,0.01889657149337007,0.3809086851802404,1.7576820219024496,1.7297360441860348,0.6912338825685295,0.760526724033022,0.5553490929212206,0.8511826241319481,1.1789689303481672,1.8488595702552308,0.8430968179167642,1.2068862151577502,1.8471428831452867,1.9757496137734207,1.4523927419306153,4.375856597516444,4.588266347583706,0.0002460152283296778,0.004737600845442208,0.003305352366993898,0.00518457428336312,0.003650462128019234,0.002444493261406605,0.0034056210936661228,0.0010344242814541165,0.0005241996853542791,0.0001743184583525363,0.000913314433107981,0.0008195464596991152,0.001675902048502886,0.0005037169354955469,0.0002092751958569434,9.700142709080158e-05,0.007014488268286972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3011111033638686,1.2604465452687017,3.8051364657975175,6.000595699332502,3.3114921832782835,3.0024388183067052,8.333158190338617,3.527610508194231,0.8997872691819129,3.2096335432440943,6.385142756535627,8.48862757800778,1.9424621243010247,5.022664354481296,1.3872341578505025,6.443437471766674,0.08251445417777327,0.00019002357793399793,1.2218948088446675e-06,0.0015169330318320366,4.897607301383505,0.2230176578961111,0.2939326825843438,1.935777672055377e-05,0.5200861500281478,5.165916070578288,0.5180609301212531,1.3325929036673967,2.3634208636306204e-10,0.16071233938248708,1.0226637033768303e-06,0.0007115046629587623,0.45136876876311505
25e6c64a,7.719079800479258,2.1,0.08482299818122535,0.14368635739833724,0.15852158698614577,0.2022281672417159,1.2818605618875647,3.1421055037797077,1.7098865527847737,1.4389781398149617,0.05750344697690809,0.08863368603869802,0.08735505453730771,0.10579980517198762,0.1267434510386976,0.14833237091542972,0.16885421701943354,0.13081539061978803,0.08558063936797554,0.12775206787039903,0.1780568043560685,0.24269683635013997,0.10738142764878965,0.24012094501677178,0.2591821290595863,0.19425090917161048,0.075785592279869,0.4465425641927262,0.34870542327761156,0.41082698213735797,1.3695693331308074,0.4853054117777927,0.0183773336246618,1.2688534252464458,0.2800907691112405,0.4688237476785239,0.618904844653994,0.3420671913410154,0.31297431367955175,0.23065948588075874,0.8953443402546513,0.092717267274172,0.006321064242876542,0.0029716092143631414,0.004455319440323935,0.008541917608064234,0.0013081941848289492,0.00428769952743365,0.009598362316370049,0.02430706567093955,0.007305100171171417,0.005126774769078149,0.0035500984050680475,0.026623512270326853,0.005477072216051006,0.0015454919020263312,0.00440398004200922,0.016503451561708377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.586069081585958,10.26716494722371,9.203741740182497,13.71391281377706,4.006130906254155,11.165979617727283,12.592499808367046,15.742750270262208,11.981197617476242,10.834662478555346,6.953445105874797,20.91731984847324,4.21421255121023,3.2623821983315855,1.0102396719389546,85.50795215116199,0.6859272005951412,0.00012972918928802306,4.279284395159771e-06,0.0010356137951747174,4.421154176448366,0.22651996497229562,0.6849403888949899,4.572247009013967e-06,0.5943582447314161,4.506011352460633,1.154006503102193,0.5893805374960296,5.124128787879695e-10,0.10810796545531434,1.149382639184004e-06,2.0497755537645273e-06,0.7562391869277924
f4647936,37.009604656878224,2.1,0.03654642441797703,0.09110603677346885,0.10494117453672538,-0.00770830428836311,11.010493477229314,3.8444435159730874,5.176268676674673,16.862066765839586,0.009064141766425346,0.04104654874636535,0.045641775032208794,0.050433232126908624,0.03989991469422507,0.09266095047738444,0.08835647145403354,0.1435068104682323,0.06702891399602198,0.11457358964441024,0.10829448649558,0.1298677080108893,-7.474208437936559e-05,-0.006497412769288148,-0.01655275801142182,0.023457754715465993,3.3863771069112385,2.280239764424495,1.8941171391882297,3.449759466705352,1.3543363998583808,0.16331423424743222,1.2906466874754754,1.0361461943917991,0.8082697390987342,0.7131270628370403,1.8347979457266872,1.8200739290122114,6.272138330607978,5.2147298723630415,5.375198562868566,0.02569976272701152,0.0015541216260253196,0.008100046640055251,0.0032011454546986722,0.01241375704787656,0.004003191041886941,0.0005515323775737389,0.003629084941807539,0.0021059446004409806,0.0011585935475005723,0.001265422827688095,0.00033952052412097427,0.0029158797065347163,0.013267412307617589,6.323160264756699e-05,0.000294192255495561,0.027903854583133714,0.0,0.0,0.0,0.1381611888834694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7630213109482535,2.000409405171568,16.172984599577816,162.66807329512233,12.556782917148327,8.63861882445341,5.389495132461273,12.480036334134116,0.9196630470646288,4.125235100405609,6.474015525129686,23.41598708868884,113.12565120204233,21.829155634425362,5.7016314971077335,55.14042056076615,0.12841665412459138,0.0002103718113391119,3.6333580791613427e-06,0.0022057288550366544,1.1000271607356398,0.20837484863632397,0.8289567683795734,9.985223566417161e-06,0.552541537618586,5.220704253117253,0.8367608880369665,1.1221960037682333,2.1813085324922825e-10,0.52296543601027,1.381314721416045e-06,0.00018273222098025093,0.8645149802019095
0fc313c8,1.3841050882006551,2.1,0.1174068393181987,0.1677797284120749,0.2292045165340792,0.24013131233616733,0.3844610259137242,0.2633364131413683,0.11757927767054056,0.583054197108109,0.06230179170586813,0.11400916727103558,0.1317577103964856,0.16155868789940547,0.08961788989312848,0.13511994746296296,0.16692076206711845,0.27946031422508966,0.10046653949093878,0.19556031417668568,0.26498558437998354,0.35580562808870875,0.149382667679425,0.24819667766665118,0.3228145916624258,0.7531051403031458,0.2350803975117259,0.04804822893462751,0.060515386128716916,0.04081701333865389,0.029809137749325216,0.1895733437632704,0.02493595203791774,0.019017979590854897,0.05385060539172243,0.019379421313366268,0.006266994905736823,0.03808225605971505,0.009331258868411076,0.17744995174124592,0.39627298649845205,0.00212306197580178,0.00014134222669836733,0.00040270835904491256,0.0013268506248456183,0.012647883419241127,0.0033972235843981683,0.002953320031934523,0.0018002343969619496,0.005575206081877099,0.00018071823445617015,0.001404850239730374,0.006439977685071878,0.009430771223633899,0.001471909631941438,0.0017223613449626046,0.0010136520078557255,0.02060612518549657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8379307511674143,2.7863750180574205,2.416606227849796,3.3879834237235658,1.7754724019066208,2.144860270545331,0.841284128454076,1.7313081245545585,0.6268466808031958,2.1957037768767687,2.7877930467443313,2.0350767402780368,0.600655870323884,1.0615170607037832,0.7358753713533036,1.3682831809056741,0.5584606688425262,0.00021452894030717806,6.540483408501037e-06,0.0019047549773641285,5.033274353028418,0.411499163441829,0.9488389505134144,1.7799085465658988e-05,0.4443558695747375,5.051016068321785,0.5454807130167187,1.4945597866953397,3.722601686448038e-10,0.15502487310034374,1.8178669823879206e-06,4.6656336222585826e-05,0.969796795682899
7eb0063c,6.8254523505069535,2.1,0.09754044688679905,0.1278944303149239,0.20447967043918616,0.2210509450692497,4.325128319346411,0.7269755611468004,0.825227008040032,0.9073657599489255,0.053682731820964454,0.08755103873787881,0.11861184659076983,0.13031617039758311,0.07928285276441034,0.10950381215251538,0.1410819668918361,0.18170908945093375,0.09577906078699343,0.1338771980134172,0.21397821044964357,0.3742842125066905,0.13808464002692755,0.22475740430935803,0.30031079087146345,0.8166297862232295,0.011756830302576689,0.47237150739627914,1.8981023601061446,1.9428976215414104,0.011131366894749813,0.0057318011705646535,0.2299896848302402,0.48012270825124576,0.10598830618377347,0.37211756716515787,0.24453581031014532,0.1025853243809554,0.006384217748971508,0.3511775902011459,0.549803951998808,0.0005027539231372978,0.00046907512015616107,0.0032652552178305096,0.0029239524111756166,0.004191696436970891,0.0028952141769333635,0.0005283481816628092,0.0015378529517901395,0.0049349526447284246,0.000531275324082318,0.0003923255404651889,0.0020602923943789115,0.003218548147360648,0.0007677252911808941,0.0006793481450638597,0.0005181689663746553,0.010027501414981679,0.0,0.0,0.1102554208253193,0.1158509234011434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4239874823019503,2.371768840883912,178.30944445517972,175.39610020392442,3.3606115397123677,1.9670790702722387,1.230712539695377,3.9382538360994395,1.7383844590817163,1.7750584255072008,0.6764040785888233,5.63578424409873,0.8593187997009151,1.1821164479003805,1.6271686438621669,12.687318884371276,0.34946703136892365,0.00016766873740403857,4.78230406809381e-06,0.0011560309299403905,4.435098734865292,0.12054408001109124,0.8577649906229589,4.337684615007008e-05,0.8237819062070462,4.92226985264599,0.8415996659777754,0.9893461075465626,1.2802956821366253e-09,0.34048739578833365,1.1267506317841604e-06,0.0003354127498435765,0.8748248024746208
5cf3ab01,8.97600859656905,2.1,0.09765140711219193,0.1301902582770039,0.18851910708417116,0.09681145059621832,1.4605345263597758,0.8156099389709528,0.6681270224492465,5.870072410955379,0.07230330286479875,0.09106312238618297,0.10408292364243693,0.12315627955534907,0.09302327551734194,0.1054636822882717,0.14229342487536092,0.179980650427041,0.11870860855347022,0.13553595462077167,0.2445145965274033,0.25531726863503945,0.10627021030109156,0.14097717759042985,0.04318696389713358,0.51793608173235,0.8494789575328221,0.3908250831747122,0.07583529409396551,0.1443951915582759,0.06970499654445818,0.02944989752753303,0.21577185243215347,0.5006831924668081,0.017378811159530043,0.3479596321485277,0.06038207076644549,0.2424065083747433,0.33253639313670114,1.4525457237613197,4.0849902940573575,0.0005393736902091209,0.002820999618493547,0.0018873852080867647,0.0020491169356874547,0.008372967516540151,0.0009464841930814457,0.0006853930446930813,0.002574115413075498,0.002062182536298883,0.000574410573187723,0.0023946502527726066,0.001747670994904897,0.007717537935404539,0.0004531229236077236,0.00023108342182440628,0.00013762169975859895,0.010386276428144216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7060216019232711,1.3148749298325846,0.4218969647166291,1.0129014631040318,1.372473499166472,1.519818910511547,1.4445461961388542,9.297061474184892,1.2291264519529936,1.9936678002716512,9.126742420998335,4.885649976385512,0.7809854171356763,1.644149508357147,1.1166119475308591,3.4054750140231262,0.3884890035378251,9.64170138428755e-05,4.163962752192217e-06,0.0006338919053915569,8.280480578967701,0.0027156988524602464,0.7496999363882796,6.313457959747555e-05,0.4102826925600131,5.005547481574626,0.7113146131187268,1.084138619077749,1.8136538714116972e-10,0.2858827278077683,1.0938303748526258e-06,9.265728506132064e-06,0.7503047059901619
29a96181,6.626913746961665,2.1,0.06890621700565999,0.13429846644295879,0.18079177499006394,0.19553857711131015,3.163154906400154,0.6021834224912315,1.1783561027747236,1.6109398679154872,0.05273737144853328,0.08159106754722534,0.09379872454331498,0.04749770448356637,0.0848665724298838,0.11702955753370702,0.136598647768132,0.19869908804011244,0.08898004520973772,0.14082263435130452,0.19801187537060774,0.2953525450286058,0.13264805838172034,0.2354306982126407,0.2185369747395693,0.8002614749379517,0.004511162178762916,0.6284925432959256,0.22006160744280828,2.3100895934826573,0.0020143696766142375,0.006035802453409179,0.2871702819920529,0.3069629683691552,0.21303170121476642,0.2768353099858383,0.3905456519712168,0.297943439602902,0.02717754146689926,0.26477369010549817,1.3189886363430896,0.0045345953697017195,0.00042723058509232747,0.0024426193277939756,0.005906307345216331,0.006239811442891998,0.0012791537143057796,0.0006702214044448306,0.005767610613078319,0.023386780133185736,0.007198358696424448,0.005898302650120937,0.013152419803675815,0.012303846924420672,0.0013484810483664605,0.0012735542739996841,0.0010015537156563648,0.030115097109927172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10447440898549147,2.6434460897498986,4.283794299816536,46.65525457370109,4.405090233544685,2.090116052191745,13.518370397059407,29.3206355558514,5.975019532626765,1.1762967583634485,12.618628912165988,4.680040294743375,0.734787317647326,0.7050676118713527,0.3929470120826254,1.211048672339299,0.4297377838982472,0.00019665215265931963,2.0315390357470257e-06,0.0036384979905957444,3.323774197570606,0.3181332124524464,0.5526105969406658,1.3919768157533308e-05,0.7629607704113663,4.660394106622063,0.5445589098343785,0.6228636502726913,2.2116390873950755e-10,0.15443341968257607,1.2309872527336517e-06,0.0003885810182103113,0.6948847638934201
74d2a0db,10.155728398432283,2.1,0.07033124910798565,0.09226636345072153,0.1688061964519409,0.2200636082919553,4.153019802401353,3.2048247990950753,1.7950059442872603,0.9709173393388525,0.03721772748294371,0.06429446477830333,0.0740115174086598,0.10580128676203575,0.058069833539148824,0.07192935187016407,0.10144197835911396,0.1376242900344593,0.06885375259454381,0.11513928084332095,0.21835847645231585,0.272873275917583,0.14338334675517833,0.24151127541960848,0.27529620270107913,0.7153408462399673,0.37289418957257314,1.2070922571129465,0.7087484118983606,1.8642849438174727,0.45615710147199134,0.662552616211621,0.9469497195963482,1.139165361815115,0.7441420665113083,0.7015620995687715,0.21049215903863613,0.13880961916854445,9.949678325601547e-06,0.22098641065931612,0.7499209790012108,0.00029764590612713413,6.935493120136583e-05,0.0008814916231822956,0.0025721315222994663,0.002396598681027411,0.0002742040992808406,0.0006461150046613485,0.002153419193560948,0.002878110618526019,0.0002297538551683858,0.0013402198884577827,0.0020369109315295404,0.004642411538469101,0.00010731523266860468,0.00029093487167746194,0.0004115271523125128,0.007715515616303736,0.0,0.0,0.0,0.10020542157761263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.806425599470707,1.7034856852090596,1.2525319969657949,176.16764517189532,0.6220199431178148,2.1875655209911624,2.832988112926225,9.072362087037469,1.5464524271836984,2.1783971954205485,1.5020943975934675,4.127891732869883,1.2083112360217474,1.2108977491329447,0.7959730839742587,1.8765837888905228,0.253832335515908,0.0003123440467577738,3.1510501023819105e-06,0.0007866271782599606,6.575074249032283,0.2942298482703119,0.5827623134538065,3.2449229984117735e-05,0.2397978409482442,5.612618609084238,0.6698968078572499,1.2756254134127607,8.846037302358362e-10,0.2116733785549487,1.0203881904923957e-06,4.3449761050758585e-06,0.7054678184276035
4f5b4a89,3.1378675459202867,2.1,0.10008361856618077,0.15888554424519732,0.21966810672938875,0.18154111986105403,0.3428832096960447,0.5672517933909946,0.07784938893812172,2.087736674169537,0.05335467083060891,0.09608136513338696,0.11377048775247794,0.13712795054824928,0.07290985352060253,0.13986356330264574,0.1498334625456701,0.27293529761187096,0.10317910353980195,0.16783172502857796,0.27500753304256537,0.33265406530660974,0.13986786461607584,0.1851799499287572,0.21957554503832913,0.6692983637148855,0.008858888959399465,0.28767494236121777,0.008643393429720786,0.037705984945706664,0.0764876272341767,0.27998588488676945,0.13737331144074855,0.0734049698292999,0.03166868441774333,0.03905769062176992,0.0017546869044206947,0.005368326994187774,0.002707435496075144,0.7779200143937471,1.3071092242797149,0.004118629070425019,0.0008740723119966432,0.0009555850728244029,0.0012251674804692274,0.006477094780464092,0.0008744683352143982,0.00041472414879651357,0.0023645721752481434,0.004721070661162277,0.001691186143803666,0.0017022260650347465,0.006919470361434497,0.007185794659426672,0.00018973305719340722,0.0004849279335551185,0.0003900370549282816,0.028700623931981056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9357907054095328,3.3617085754565488,8.17558281784188,31.05075550186539,4.030068747964829,1.5348765602497094,0.8108115805493846,2.06338194458814,0.9257669028832777,1.4254121025361277,5.140294066147484,5.855919418832178,1.3092437233372345,0.19941357593250028,1.6176382452652387,2.475615294973467,0.39215887936275484,2.635575105465914e-05,3.7016687174366683e-06,0.002354588600143644,3.03792133552678,0.04890848847437878,0.667324150355489,2.533332052252529e-05,0.13237505629621793,5.460941929318275,0.5282737397002796,1.3673119418333666,2.096050357835583e-10,0.3650887997213289,1.02727482202803e-06,0.0002261670993209491,0.6835280908984962
4d2a9457,7.345386459585649,2.1,0.1120082204880484,0.14553405895606347,0.14268522985999174,0.12690883337352601,0.2513704868860595,0.3078328497849385,2.3699695473832554,4.2930420789372326,0.060288653881627276,0.11154036402253718,0.12105715521354482,0.1551467088344843,0.07797121575663007,0.12594250059978196,0.16786515605627247,0.21035736341156935,0.09196678418306277,0.14046152016070987,0.15164444432675478,0.18666817076943953,0.12199379203466165,0.16148567943742712,0.09724702864848933,0.8274058500463372,0.1575610088095048,0.06911934220848212,0.014026913229882943,0.010663222638189626,0.01976768053613389,0.06447395935209758,0.021363405131781563,0.20222780476492547,0.16132549172073388,0.2809323522936913,1.003849473007802,0.9238622303610282,0.10965550209072981,1.1135617242417104,3.069824852604792,0.0014259367762687162,0.0014011870967811399,0.00184882580765207,0.004491471413185507,0.003014039556843565,0.001980115620138909,0.0026473723505857404,0.0022440744015604307,0.0038772321798486603,0.002959643677479279,0.0028261141124625876,0.0038674652746338903,0.003003857858124457,0.001411377573435021,0.00044980693349057637,0.0004978920893792683,0.01688749108819138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9887038136066937,2.4546258068929565,3.5136457651266295,16.18809697237817,9.34195940610162,5.493383379261864,7.977544456985316,12.211219260078021,6.424521531838796,4.338026360920789,9.273722233406911,16.860632583710224,0.923546708846588,1.0248135950041568,2.637011620664402,1.1221665776576746,0.3353711926621581,8.890024650207235e-05,1.414749757215296e-06,0.0008307768542913927,8.689576588275443,0.2378737871857961,0.8203989229627381,5.194289332268428e-05,0.8285054325017768,5.140000569089347,0.9775545831457679,0.9820437438411318,4.336272373725393e-10,0.09619366181541972,1.000025207567787e-06,0.0010856892333105785,0.8630392714479432
