id,cost,elapsed_min,velocity_scene1,velocity_scene2,velocity_scene4,velocity_scene_wheel,cost_scene1,cost_scene2,cost_scene4,cost_scene_wheel,velocity_scene1_f10,velocity_scene1_f20,velocity_scene1_f30,velocity_scene2_f10,velocity_scene2_f20,velocity_scene2_f30,velocity_scene4_f10,velocity_scene4_f20,velocity_scene4_f30,velocity_scene_wheel_f10,velocity_scene_wheel_f20,velocity_scene_wheel_f30,cost_scene1_f10,cost_scene1_f20,cost_scene1_f30,cost_scene2_f10,cost_scene2_f20,cost_scene2_f30,cost_scene4_f10,cost_scene4_f20,cost_scene4_f30,cost_scene_wheel_f10,cost_scene_wheel_f20,cost_scene_wheel_f30,lateral_scene1_f10,lateral_scene1_f20,lateral_scene1_f30,lateral_scene2_f10,lateral_scene2_f20,lateral_scene2_f30,lateral_scene4_f10,lateral_scene4_f20,lateral_scene4_f30,lateral_scene_wheel_f10,lateral_scene_wheel_f20,lateral_scene_wheel_f30,tumble_scene1_f10,tumble_scene1_f20,tumble_scene1_f30,tumble_scene2_f10,tumble_scene2_f20,tumble_scene2_f30,tumble_scene4_f10,tumble_scene4_f20,tumble_scene4_f30,tumble_scene_wheel_f10,tumble_scene_wheel_f20,tumble_scene_wheel_f30,yaw_scene1_f10,yaw_scene1_f20,yaw_scene1_f30,yaw_scene2_f10,yaw_scene2_f20,yaw_scene2_f30,yaw_scene4_f10,yaw_scene4_f20,yaw_scene4_f30,yaw_scene_wheel_f10,yaw_scene_wheel_f20,yaw_scene_wheel_f30,progress_scene1_f10,progress_scene1_f20,progress_scene1_f30,progress_scene2_f10,progress_scene2_f20,progress_scene2_f30,progress_scene4_f10,progress_scene4_f20,progress_scene4_f30,progress_scene_wheel_f10,progress_scene_wheel_f20,progress_scene_wheel_f30,best_trial_scene1_f10,best_trial_scene1_f20,best_trial_scene1_f30,best_trial_scene2_f10,best_trial_scene2_f20,best_trial_scene2_f30,best_trial_scene4_f10,best_trial_scene4_f20,best_trial_scene4_f30,best_trial_scene_wheel_f10,best_trial_scene_wheel_f20,best_trial_scene_wheel_f30,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_delta_d,solimp_width,solimp_midpoint,solimp_power,magnetic_moment_fudge,magnetic_field_fudge,dof_damping,noslip_iterations,noslip_tolerance,margin,solimp_dmax
3b9c0e56,1000000.0,1.1,0.0,0.0,-0.0016755366868670739,0.0,3000000.0,3000000.0,1000014.654471904,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029481660324679614,0.0,-0.0020784440281332605,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,7.420232148237064,1000000.0,7.234239755773352,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,7.369769695610303e-05,0.0,0.01042482207767707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0802757221243031,0.0,0.1650946762444205,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,1,0,0,0,0.030541559066783644,0.005789503369545788,1.0261878559831892e-06,0.0034882028354924553,1.0522532289358757,0.3127352732650057,0.542216621714008,4.4803629475253644e-05,0.41979892260157936,3.7922017086716675,0.607522815943997,0.9401818214206639,4.3847602380816684e-10,28.823001185646074,3.204764732044382e-06,0.0004451726589589801,0.6853274099562838
4e5552ed,503.3066966044013,1.1,0.12122217894243319,0.16570970276576777,0.17899327315831481,0.3267742605617898,134.84559237972746,20.023251880368495,18.96811502822293,325.1683358751493,0.09161616612328848,0.12988264136391872,0.14216772934009234,0.14906878035768242,0.16663216344393045,0.1814281644956905,0.12372916393783114,0.17658384470084257,0.23666681083627075,0.11894050489689643,0.28764155929981866,0.5737407174886544,65.07128775768288,15.392086917923178,54.3822177041214,15.47809502515384,3.7315708655199487,0.8135859896947042,2.8053020945577045,2.6219598481787627,13.540853085486463,28.449101090981003,165.645966192185,131.0732685919833,0.0020987831123941516,0.007363536981216213,0.0032343199273659196,0.011485699418270412,0.0016730579178543092,0.025337490861774316,0.0004845094417741066,0.02611281150660947,0.011751941679121726,0.0314465757331262,0.026852292779025174,0.02082235340017663,0.13342214445026318,0.15061863136956177,0.09386749008253087,0.15939873492337722,0.0,0.16849423987854034,0.15493813358909123,0.1629190896108797,0.16661209268442606,0.15442479359838074,0.16991187369535596,0.1728730376825107,177.15342783598447,171.51043406630006,10.132023953817733,178.47410771898538,4.6590302870012605,171.86953578475038,175.89072834301135,177.49781261619836,163.39472229993103,174.46741147662308,179.7822446804068,178.26809113770005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,1,1,1,1.0418483931947402,0.0030644908758177083,3.959078468377992e-06,0.0018463786161601438,1.0033829125132883,0.31661888198540333,0.11646065784157894,4.043618834126199e-06,0.5006709594522775,2.692360511808909,1.1414595057354524,0.7855813104519805,1.649734398667211e-09,29.437701693709077,1.061767710110901e-06,1.7166320827975573e-05,0.3961942504801128
84998a43,1000000.0,1.1,0.0,-0.01002387685701075,-0.001847574190872798,0.0,3000000.0,2000009.5062595108,21.67028124874226,3000000.0,0.0,0.0,0.0,0.0,0.0,-0.03007163057103225,-0.0024643957124499587,-0.0016806689276594716,-0.001397657932508964,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,9.506259510647764,7.350119914608713,7.1632253721143195,7.1569359620192285,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0015337581384084753,0.002693329367459175,0.0006384013608992395,0.009140994521043824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.858045627316436,2.894554277887436,0.7889403632609924,1.9640970855809774,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0.06383272743365585,0.0068592200613926966,3.0140875373015277e-06,0.006509954070286992,4.023209610847346,0.29649827847973403,0.01000062742028934,1.4864502953970598e-05,0.45513835003666037,3.8835153462366083,0.788975393185831,0.7064155240539586,3.7424311157028255e-10,30.12913081130067,1.0065131152865536e-06,6.308995616137877e-05,0.30353273702344835
f9c02bea,391.15755318746994,1.1,0.08579930050706512,0.1413472462619957,0.19048509155027946,0.3065410839914864,47.973885726922845,7.632577857480104,25.27485823486363,308.0118664226753,0.06034706400595144,0.09468497547754696,0.10236586203769692,0.10660563765246563,0.1474954145556079,0.16994068657791359,0.08349125540291738,0.23111136882837396,0.2568526504195469,0.15286890184075638,0.30243095591612756,0.4643233942175751,20.772549518365096,5.162079755485633,22.039256453072117,4.82261644078451,2.2699104457481467,0.5400509709474466,0.2787868018151607,7.52159088748373,17.474480545564738,46.89373395472894,182.92897800915156,78.18915445879482,0.0007933492263535552,0.0006608643243044095,0.0028482003785644415,0.00013057842694848672,0.0010680035669495332,0.006031466676372379,0.003436311661485197,0.0007801070580353017,0.015007032522301693,0.003354327726445944,0.0034375087157155963,0.0019560373858454575,0.11694692560849794,0.14409796405208042,0.14386748529755178,0.14819944656584894,0.15846963498909264,0.16746801763464594,0.14086384550004602,0.0,0.17114919159181666,0.1559204032168294,0.0,0.17101010864660046,179.2657030559313,177.352762068478,177.63746237842787,179.96204311415121,178.7699927501877,178.54501118061813,178.7226222852174,2.328737871561227,177.21685847957798,179.8030679609548,0.021737856780105022,179.15652766544684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,1,0,1,0,1,1,0.7395975623048034,0.007086611723525399,8.028947286771836e-06,0.005097879652166098,1.0758687594158067,0.5217370548473517,0.09135785988051885,3.8953834721604186e-05,0.3373391231841758,3.600701704910829,0.5011585415632029,1.1646277554872366,9.68556407563254e-10,28.832480296116316,1.194704949186539e-06,1.5765683683346611e-06,0.5654209981906635
f57c8761,1000000.0,1.1,0.0,-0.0002149015197072049,0.0,0.0009341678828899366,3000000.0,2000007.119671806,3000000.0,2000000.0157080656,0.0,0.0,0.0,-0.0006447045591216147,0.0,0.0,0.0,0.0,0.0,0.0028025036486698097,0.0,0.0,1000000.0,1000000.0,1000000.0,7.119671805966133,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0157080656329278,1000000.0,1000000.0,0.0,0.0,0.0,0.003896143930546771,0.0,0.0,0.0,0.0,0.0,0.00011059526487912634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.815064711470761,0.0,0.0,0.0,0.0,0.0,0.5215222058037371,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0.338598348480692,0.004699471092115281,4.764721298564108e-06,0.0022178907008397132,1.0040110813297574,0.1991052368268073,0.388582514798772,0.0001719164191689028,0.7504815899374683,3.3861246787845043,0.7943516451095654,0.5588096022928725,6.778758843286091e-09,28.52337609163633,5.512144586900603e-06,0.0001622909770892427,0.5102800797383336
e7c75125,1000000.0,1.1,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.40392962034025,0.0018687517843223173,3.7828598601571093e-06,0.0008147350375682043,3.657038229098582,0.008825701978304533,0.04693359889272026,0.0003213657268674635,0.3002381468597004,3.524920726998897,0.6495949989820523,0.664130994620214,2.5403687124678954e-10,29.7339929642965,4.852897466388465e-06,6.405777266449776e-06,0.05534038555453909
d84718b3,41.39835893966891,1.1,0.0398568030104895,0.10356519841890278,0.17910861183968907,-0.0020878876064127304,8.787501499095024,0.6052731037190683,23.696066664217668,7.07649170711358,0.04596085408269462,0.0442962217802561,0.0293133331685178,0.0636588805270527,0.10425219988756099,0.1427845148420947,0.10562407258704519,0.15922161865847667,0.27248014427354533,-0.005076481076233374,-0.0009711065721443827,-0.0002160751708604356,8.674234228699188,0.02016587935088901,0.09310139104494637,0.1522848036799219,0.26929746014634437,0.183690839892802,1.2688759940800443,1.5618741310945896,20.865316539043032,0.05154150935608056,0.001887500476709173,7.02306269728079,0.0008339847049190271,0.0012511580592269537,0.008583128139730565,0.0014083374020672495,0.011143052641910525,0.005809109232062677,0.005785391357541484,0.019684072118520815,0.024088810018336702,0.00043488086813522203,0.0011851277505598263,0.000657670953775307,0.09909508313586524,0.0,0.027589993605093496,0.0,0.13117410236001545,0.1594732184106901,0.1397837437470878,0.1360966644987054,0.17285285015985535,0.0,0.0,0.0,179.7014245214017,11.825956013764952,159.20378984017702,6.0282317262830665,173.54914358947343,161.9902043431449,175.67980337718183,179.1743858815721,178.70843707547562,2.4108587389746323,5.18798311103983,4.72588071891318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0,0,1,0,1,1,1,1,0.4779110263806463,0.006129993309099355,1.2794188760106826e-06,0.01499205899431924,1.1763657696920655,0.4182062068768183,0.26055039626169685,2.5858742790603672e-05,0.6842557866257288,2.94966510207796,0.5010000651808559,0.7483791306581558,3.8480836434883483e-10,29.514910784087846,1.0114966278207994e-06,0.00019986972145375777,0.5697667551780328
7ef1267e,1000000.0,1.1,0.03313236007484572,0.039636061321944256,-2.1533610511546494e-06,0.1026792953298956,2000020.2548154534,2000001.4954581237,19.401126975995012,1000026.0758553549,0.0,0.0,0.09939708022453715,0.0,0.0,0.11890818396583276,0.009841391741449934,-0.0032082174156459,-0.006639634408957498,0.0003543101386673062,0.0,0.30768357585101946,1000000.0,1000000.0,20.254815453429995,1000000.0,1000000.0,1.4954581237387468,4.213187335817569,7.313865410418958,7.874074229758484,0.0002510714275083316,1000000.0,26.07560428343368,0.0,0.0,0.371733463011071,0.0,0.0,0.004903522358854559,0.0004847492724689784,0.003487692321815882,0.00326913186671572,8.876003610923898e-06,0.0,0.075324921004009,0.0,0.0,0.057927929357949326,0.0,0.0,0.08076086376644595,0.0,0.0,0.10734916305966262,0.0,0.0,0.07317191273259141,0.0,0.0,157.43101732268755,0.0,0.0,161.68896651696122,1.4532718780564986,3.1701358550846317,14.19666420684628,0.5490479080074014,0.0,49.182770114063516,1.0,1.0,0.0,1.0,1.0,0.6774692936642255,0.24661059204369823,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0.19872510132602877,0.013254119455121437,2.3772108681811493e-06,0.0011675423137446806,1.4409252446919225,0.3917004460839326,0.22771914276138472,0.0001059810120457264,0.11460372713427858,4.536705939514915,0.603576653453957,0.8768867858308687,4.097593799932028e-09,29.6103107155418,1.487054875292544e-06,1.2183373795188334e-05,0.5301991271295561
5c8b7644,49.2912848441963,1.1,0.056903184917279824,0.11300365370331623,0.14022374457860712,0.03308296626540937,18.376795849650676,1.118635290142268,7.536972119759488,21.321564861116073,0.03450600499592563,0.04492225086459237,0.09128129889132147,0.06372039941555972,0.11750432244903096,0.15778623924535803,0.07632819754669619,0.15647186008341754,0.18787117610570764,0.08942904620146712,0.005198594717061008,0.00462125787769998,2.745349491385149,0.06784730115440468,15.563599057111125,0.154270436710192,0.6364515139005446,0.3279133395315315,0.02180398211180644,1.4272439322506383,6.0879242053970435,16.075679870046205,0.054051107003006076,5.191833884066863,0.00097595916937532,0.0013120129116297465,0.007988060605541511,0.0005777407645898695,0.015825649696360945,0.0007837306212709844,0.000177946435177881,0.012470119219288475,0.011611015392725441,0.004962476287539016,0.0005770082294462587,0.0023189501317767564,0.05178799823325529,0.05521044765030975,0.1152300085373746,0.0,0.14207108088014178,0.1624393937367994,0.0,0.1396317973843553,0.12430484428186496,0.08054663486702139,0.0,0.0,178.67531870654153,175.26745075860725,147.50574648633184,2.073111904201367,154.66476527503534,179.90105305875815,7.394522825787261,172.85250637384706,177.56000407402007,179.3648508931553,0.017410430053762797,2.389328903974416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33618183294301546,0,1,0,0,0,1,0,0,0,0,1,0,0.4103091849716549,0.0002151565080030535,3.1091244595461934e-06,0.00725854285376372,1.299978792987162,0.11964579222254795,0.13564242458975923,7.015214151189167e-05,0.01708203189741309,4.283911473238312,0.5002588193315807,0.9787572044423809,3.448506208785769e-10,29.866003084152435,1.4219083009285268e-06,0.00042492803360281745,0.23904560722081925
62179648,1000000.0,1.1,0.0,0.0,0.0,0.0,3000000.0,3000000.0,3000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.3161433685271035,0.0016323017057762598,1.0056142429289831e-06,0.0012787874463976955,3.4662486278428757,0.20900355678650429,0.010401778202831858,0.0002321476535120776,0.8637984886890452,3.749009206190099,0.945407943602026,0.5506961437473249,1.2490358155928698e-09,29.41784452097592,2.0875480753146045e-06,0.0007493834562401706,0.21723028617021967
